source	RNAseq_Rif_The_DEgene	RNAseq_Rif_Tox_DEgene	RNAseq_DEgene_toProtein_Rif_The	RNAseq_DEgene_toProtein_Rif_Tox	traceback_across_TFs	existed_across_TFs	traceback_TFs_RNAseq_Rif_The_DEgene	traceback_TFs_RNAseq_Rif_Tox_DEgene	traceback_TFs_RNAseq_DEgene_toProtein_Rif_The	traceback_TFs_RNAseq_DEgene_toProtein_Rif_Tox
AP3D1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
IPO5	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
WDR18	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRAM2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ERBB3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ADAT1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDIA5	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
TBC1D22B	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SPEN	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MYLK	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SNAP91	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SLK	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SEC61A2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TLE2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ASB1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM107B	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CDK13	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MTHFD2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
YBX1	TRUE	NA	TRUE	NA	NA	NA	NA	NA	NA	NA
PDE4A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CTNNA2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ELAVL1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
ELOVL1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
GOLGA5	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ISOC1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACSM2B	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
MTFR1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
FECH	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PFKP	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
IDI1	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA
SP100	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
KLF6	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PLPP1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TRAM1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNFRSF1A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CACNB1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
DNTTIP2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TRO	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
IARS2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SYT1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
IDH3G	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
