Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|Q06830|PRDX1_HUMAN	17.598394	17.912933	17.74997	15.86076	16.00277	16.161972	15.902415	16.409601	16.211355	17.44493	17.391577	17.343004	16.264206	16.233173	16.150326	17.604336	17.44245	17.775127	17.431252	17.441774	17.574835
sp|Q07020|RL18_HUMAN	13.479755	13.343349	13.260094	13.069588	13.035718	13.247844	13.869526	14.568331	14.4348	13.313077	12.9825945	13.741557	NaN	NaN	NaN	13.541445	14.46522	13.670174	11.967966	11.294074	12.016324
sp|Q07065|CKAP4_HUMAN	12.227139	12.773432	12.580043	14.045036	14.053359	13.621643	14.087259	14.057124	14.18656	13.809666	13.668895	12.222081	12.612629	12.297145	12.498647	14.521342	13.957356	14.530397	13.755488	13.656542	14.475131
sp|Q07666|KHDR1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	9.734279	10.944797	11.214288	9.91439	9.592972	10.096673	10.69925	10.949142	10.887518	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q07954|LRP1_HUMAN	11.398275	11.175826	11.246173	9.976513	10.172421	9.740955	10.9749775	11.108984	11.074673	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q08188|TGM3_HUMAN	6.9588647	13.2862425	2.498554	8.55255	12.020113	9.655884	7.8669815	12.313344	4.0498023	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q08211|DHX9_HUMAN	NaN	NaN	NaN	11.046159	10.761179	10.142602	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q08257|QOR_HUMAN	14.951234	14.913102	14.817649	14.106152	14.337268	14.290552	14.777113	13.1006155	13.276263	14.691441	14.883908	15.162613	15.111121	15.134408	15.179052	13.994379	13.880643	14.030677	14.790408	14.964247	14.798845
sp|Q08380|LG3BP_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.983096	11.832457	11.305752	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q08426|ECHP_HUMAN	14.467674	14.233552	14.444778	14.762	14.533152	14.451182	13.022092	13.840522	14.352156	14.288707	14.49771	14.375619	14.046707	13.965356	13.943406	14.603108	14.464701	14.941501	14.810052	14.438394	14.883202
