Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|P13646|K1C13_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.8572893	11.898188	10.065125	7.718756	NaN	10.030439
sp|P13647|K2C5_HUMAN	14.458938	20.437273	15.180147	15.009498	15.426824	16.214354	12.854517	17.32119	10.46209	14.653529	15.044654	14.2812395	14.971275	14.41455	14.790682	14.629188	15.409303	16.481836	14.578851	15.111208	12.703989
sp|P13667|PDIA4_HUMAN	15.149922	14.955413	14.580456	14.243076	14.418774	15.266929	14.202546	14.741442	15.230116	14.6406975	14.639229	14.227291	14.510464	14.59669	14.778733	13.87986	14.915643	13.745446	13.678036	13.974375	13.80234
sp|P13693|TCTP_HUMAN	15.184775	15.458808	14.958438	14.782478	14.797586	15.321074	11.977003	13.539336	14.121596	14.690301	14.171018	14.397663	13.735307	13.891989	13.903627	12.637085	13.215905	12.318723	NaN	NaN	NaN
sp|P13796|PLSL_HUMAN	13.343826	13.219399	12.753471	12.915531	13.081655	13.794461	11.911106	12.130441	13.026459	11.523732	10.869979	11.37017	11.220901	10.883644	11.020211	12.313361	11.777499	11.274444	11.114652	10.555026	11.225706
sp|P13797|PLST_HUMAN	10.472461	11.836886	9.581152	12.893232	12.941215	13.383765	12.595906	12.336579	12.8676	8.99671	6.694239	6.5007615	12.154952	12.082597	12.236335	11.405347	10.380119	11.55408	12.324014	11.697685	12.229103
sp|P13798|ACPH_HUMAN	NaN	NaN	NaN	14.075492	13.891234	14.050454	13.296839	12.905869	13.165071	13.692247	13.064876	13.116028	13.245434	13.111152	12.966783	13.583642	12.69031	13.265748	13.431317	13.121648	13.835405
sp|P13804|ETFA_HUMAN	15.192575	15.164281	14.779884	15.26904	15.766459	16.585663	15.724706	15.862182	15.968865	16.221275	15.786838	15.547501	15.992263	16.151731	16.191193	16.15902	15.954583	16.521921	16.325287	16.328949	16.568745
sp|P13861|KAP2_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	13.018345	12.931946	13.721678	10.923536	10.580804	10.27714	10.975528	10.480503	10.007697	NaN	NaN	NaN	12.270847	12.425763	12.730348
sp|P13928|ANXA8_HUMAN : sp|Q5VT79|AXA81_HUMAN	7.2887726	13.413152	7.744868	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P13929|ENOB_HUMAN	17.570002	17.840853	17.201647	17.204802	16.930992	18.383415	17.220055	17.093817	17.556496	17.474596	17.413204	17.391277	17.535358	17.718246	18.04522	17.663174	17.907951	17.142807	17.004856	16.942257	17.105526
sp|P13987|CD59_HUMAN	14.416626	13.898102	14.240623	13.687061	13.668633	14.158806	11.527556	12.770394	13.533327	13.595331	13.315194	13.104616	12.085109	12.173283	12.75988	11.988548	12.983869	11.606109	10.758526	10.107052	10.452708
sp|P14174|MIF_HUMAN	NaN	NaN	NaN	16.72861	16.492958	17.13985	17.3953	16.587301	17.023294	17.21242	16.584656	16.607904	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
