Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|P26006|ITA3_HUMAN	NaN	NaN	NaN	1988.4452	1883.5619	2027.0472	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P26038|MOES_HUMAN	57729.383	38573.84	43719.926	34713.637	27812.938	51323.57	12702.686	23084.783	36965.08	40150.4	32210.535	29370.754	32904.57	41621.336	39511.25	30071.475	48956.414	25413.152	25541.238	27689.773	28029.27
sp|P26373|RL13_HUMAN	48194.695	40694.66	32168.244	30195.324	30931.77	41873.023	12272.924	29018.79	40820.594	25119.803	24008.104	23466.533	13592.054	14998.033	19875.982	22175.941	33876.11	15037.99	16852.098	17103.385	14736.114
sp|P26440|IVD_HUMAN	7394.754	6959.7866	4244.3335	4348.2744	3071.125	6400.6025	10412.892	4115.8193	5390.594	2185.4265	1874.626	3813.5732	15578.826	14378.967	14007.467	11268.32	6245.752	7629.635	7862.8716	8267.791	10279.377
sp|P26447|S10A4_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	622.8392	506.80338	961.34393	NaN	NaN	NaN	NaN	NaN	NaN
sp|P26599|PTBP1_HUMAN	NaN	NaN	NaN	6007.213	8391.464	14208.573	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2328.4678	1825.5911	2392.5608
sp|P26639|SYTC_HUMAN	12695.968	13092.084	6574.4355	6109.1396	4407.226	7097.014	NaN	NaN	NaN	3742.603	2688.348	2203.691	1330.3953	806.7008	1396.272	NaN	NaN	NaN	NaN	NaN	NaN
sp|P26640|SYVC_HUMAN	6519.716	7697.751	2945.1924	2606.893	2708.982	3213.1958	2574.7017	4489.87	7601.41	1950.2825	1363.6622	497.1928	NaN	NaN	NaN	NaN	NaN	NaN	948.1311	406.5572	1124.4628
sp|P26641|EF1G_HUMAN	56937.22	68628.25	53147.37	51485.383	46553.25	61666.086	12338.018	27917.898	34088.47	54267.273	36617.41	39129.83	13237.077	12359.917	10165.701	24078.88	31144.223	20915.65	20589.742	14936.896	19195.643
sp|P26885|FKBP2_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2883.2256	3227.522	2368.164	NaN	NaN	NaN
sp|P27105|STOM_HUMAN	29441.686	16957.71	20398.906	9597.636	9881.274	11873.674	8889.874	6895.683	15900.803	13575.0625	9356.258	8567.727	14848.465	16158.404	15840.355	29640.285	11135.84	21556.783	116798.23	92038.59	118940.91
